parcours;num;oblig1;oblig2;oblig3;cons1;cons2;cons3;cons4;cons5;equiv1;equiv2;equiv3;equiv4;equiv5
stl;23;;;;pc2r;paf;;;;cps;ca;;;
stl;24;;;;ca;cpa;paf;aps;pc2r;cps;;;;
stl;25;;;;paf;cpa;cps;pc2r;;aps;ca;;;
stl;26;;;;pc2r;paf;;;;aps;ca;;;
stl;27;;;;paf;pc2r;aps;cps;;cpa;ca;;;
stl;28;;;;ca;paf;aps;cpa;;pc2r;cps;;;
stl;29;;;;cps;pc2r;cpa;aps;;ca;paf;;;
stl;30;;;;paf;aps;pc2r;ca;;cpa;cps;;;
stl;31;;;;cps;pc2r;paf;cpa;;aps;ca;;;
stl;32;;;;cps;pc2r;cpa;ca;;aps;paf;;;
stl;33;;;;cps;pc2r;cpa;ca;;aps;paf;;;
stl;34;;;;pc2r;cps;paf;aps;;cpa;ca;;;
stl;35;;;;cps;cpa;ca;aps;;pc2r;paf;;;
stl;36;;;;aps;cps;pc2r;ca;;paf;cpa;;;
stl;37;;;;cps;pc2r;cpa;ca;;paf;aps;;;
stl;38;;;;pc2r;cps;cpa;paf;;aps;ca;;;
stl;39;;;;paf;pc2r;cpa;cps;;aps;ca;;;
stl;40;;;;paf;pc2r;cps;;;aps;cpa;;;
stl;41;;;;paf;pc2r;aps;cps;;ca;cpa;;;
